Movie_ID,Title,Distributor(s),Release year,Budget (millions),Opening weekend(North America),North America,Other territories,Worldwide
130800,Iron Man,Paramount Pictures,2008,$140,$98618668,$318412101,$266762121,$585174222
130801,The Incredible Hulk,Universal Pictures,2008,$150,$55414050,$134806913,$128620638,$263427551
130802,Punisher: War Zone,Lionsgate Films,2008,$35,$4271451,$8050977,$2049059,$10100036
130803,X-Men Origins: Wolverine,20th Century Fox,2009,$150,$85058003,$179883157,$193179707,$373062864
130804,Iron Man 2,Paramount Pictures,2010,$200,$128122480,$312433331,$311500000,$623933331
130805,Thor,Paramount Pictures,2011,$150,$65723338,$181030624,$268295994,$449326618
130806,X-Men: First Class,20th Century Fox,2011,$160,$55101604,$146408305,$207215819,$353624124
130807,Captain America: The First Avenger,Paramount Pictures,2011,$140,$65058524,$176654505,$193915269,$370569774
130808,Ghost Rider: Spirit of Vengeance,Sony Pictures,2012,$57,$22115334,$51774002,$80789928,$132563930
130809,The Avengers,Walt Disney Studios Motion Pictures,2012,$220,$207438708,$623357910,$895455078,$1518812988
130810,The Amazing Spider-Man,Sony Pictures,2012,$230,$62004688,$262030663,$495900000,$757930663
130811,Iron Man 3,Walt Disney Studios Motion Pictures,2013,$200,$174144585,$409013994,$805797258,$1214811252
130812,The Wolverine,20th Century Fox,2013,$120,$53113752,$132550960,$282271394,$414828246
130813,Thor: The Dark World,Walt Disney Studios Motion Pictures,2013,$170,$85737841,$206362140,$438209262,$644571402
130814,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,2014,$170,$95023721,$259766572,$454497695,$714264267
130815,The Amazing Spider-Man 2,Sony Pictures,2014,$255,$91608337,$202853933,$506128390,$708982323
130816,X-Men: Days of Future Past,20th Century Fox,2014,$200,$90823660,$233921534,$513941241,$747862775
130817,Guardians of the Galaxy,Walt Disney Studios Motion Pictures,2014,$170,$94320883,$333176600,$440152029,$773328629
130818,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,2015,$250,$191271109,$459005868,$946397826,$1405403694
130819,Ant-Man,Walt Disney Studios Motion Pictures,2015,$130,$57225526,$180202163,$339109802,$519311965
130820,Fantastic Four,20th Century Fox,2015,$120,$25685737,$56117548,$111765333,$167882881
130821,Deadpool,20th Century Fox,2016,$58,$132434600,$363070709,$420042270,$783112979
130822,Captain America: Civil War,Walt Disney Studios Motion Pictures,2016,$250,$179139142,$408084349,$745220146,$1153304495
130823,X-Men: Apocalypse,20th Century Fox,2016,$178,$65769562,$155442489,$388491616,$543934105
130824,Doctor Strange,Walt Disney Studios Motion Pictures,2016,$165,$85058311,$232641920,$445076475,$677718395
130825,Logan,20th Century Fox,2017,$97,$88411916,$226277068,$390518532,$616795600
130826,Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,2017,$200,$146510104,$389813101,$473942950,$863756051
130827,Spider-Man: Homecoming,Sony Pictures,2017,$175,$117027503,$334201140,$545965784,$880166924
130828,Inhumans,IMAX Entertainment,2017,,$1500000,$1521787,$1330495,$2852282
130829,Thor: Ragnarok,Walt Disney Studios Motion Pictures,2017,$180,$122744989,$315058289,$538918837,$853977126
130830,Black Panther,Walt Disney Studios Motion Pictures,2018,$200,$202003951,$700059566,$646853595,$1346913161
130831,Avengers: Infinity War,Walt Disney Studios Motion Pictures,2018,$316,$257698183,$678815482,$1369544272,$2048359754
130832,Deadpool 2,20th Century Fox,2018,$110,$125507153,$324591735,$460455185,$785046920
130833,Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,2018,$162,$75812205,$216648740,$406025399,$622674139
130834,Venom,Sony Pictures,2018,$100,$80255756,$213515506,$641498448,$855013954
130835,Spider-Man: Into the Spider-Verse,Sony Pictures,2018,$90,$35363376,$190241310,$185299521,$375540831
130836,Captain Marvel,Walt Disney Studios Motion Pictures,2019,$152,$153433423,$426829839,$701444955,$1128274794
130837,Avengers: Endgame,Walt Disney Studios Motion Pictures,2019,$356,$357115007,$858373000,$1937901401,$2797800564
130838,Dark Phoenix,20th Century Fox,2019,$200,$32828348,$65845974,$186597000,$252442974
130839,Spider-Man: Far From Home,Sony Pictures,2019,$160,$92579212,$390532085,$741395911,$1131927996
130840,The New Mutants,20th Century Studios,2020,$67,$7037017,$23855569,$24819497,$48675066
130841,Black Widow,Walt Disney Studios Motion Pictures,2021,$200,$80366312,$183651665,$195979696,$379631351
130842,Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,2021,$150,$75388688,$224543292,$207700000,$432243292
130843,Venom: Let There Be Carnage,Sony Pictures,2021,$110,$90033210,$213550366,$288500000,$502050366
130844,Eternals,Walt Disney Studios Motion Pictures,2021,$200,$85021497,$164870234,$237194665,$402064899
130845,Spider-Man: No Way Home,Sony Pictures,2021,$200,$260138569,$780418859,$1072000000,$1852418859
